

"Stazione",GENOVA - GEIRATO
"Parametro",PRECIPITAZIONE - PRECIPITAZIONE CUMULATA (mm)

"Inizio rilevazione","Fine rilevazione","Valore","Dataset","Valido"
"09/10/2014 07:00","09/10/2014 08:00","23.8","Tutti i dati","Sì"
"09/10/2014 08:00","09/10/2014 09:00","53","Tutti i dati","Sì"
"09/10/2014 10:00","09/10/2014 11:00","0","Tutti i dati","Sì"
"09/10/2014 11:00","09/10/2014 12:00","0","Tutti i dati","Sì"
"09/10/2014 12:00","09/10/2014 13:00","0","Tutti i dati","Sì"
"09/10/2014 13:00","09/10/2014 14:00","0","Tutti i dati","Sì"
"09/10/2014 14:00","09/10/2014 15:00","4","Tutti i dati","Sì"
"09/10/2014 15:00","09/10/2014 16:00","1.8","Tutti i dati","Sì"
"09/10/2014 16:00","09/10/2014 17:00","2.2","Tutti i dati","Sì"
"09/10/2014 17:00","09/10/2014 18:00","18","Tutti i dati","Sì"
"09/10/2014 18:00","09/10/2014 19:00","21.4","Tutti i dati","Sì"
"09/10/2014 19:00","09/10/2014 20:00","30","Tutti i dati","Sì"
"09/10/2014 20:00","09/10/2014 21:00","135","Tutti i dati","Sì"
"09/10/2014 21:00","09/10/2014 22:00","50","Tutti i dati","Sì"
"09/10/2014 22:00","09/10/2014 23:00","2.2","Tutti i dati","Sì"
"09/10/2014 23:00","10/10/2014 00:00",".2","Tutti i dati","Sì"
"10/10/2014 00:00","10/10/2014 01:00","1","Tutti i dati","Sì"
"10/10/2014 01:00","10/10/2014 02:00","0","Tutti i dati","Sì"
"10/10/2014 02:00","10/10/2014 03:00","0","Tutti i dati","Sì"
"10/10/2014 03:00","10/10/2014 04:00","0","Tutti i dati","Sì"
"10/10/2014 04:00","10/10/2014 05:00","3","Tutti i dati","Sì"
"10/10/2014 05:00","10/10/2014 06:00","4","Tutti i dati","Sì"
"10/10/2014 06:00","10/10/2014 07:00","1.4","Tutti i dati","Sì"
"10/10/2014 07:00","10/10/2014 08:00","3.8","Tutti i dati","Sì"
"10/10/2014 08:00","10/10/2014 09:00","56.8","Tutti i dati","Sì"
"10/10/2014 09:00","10/10/2014 10:00","16","Tutti i dati","Sì"
"10/10/2014 10:00","10/10/2014 11:00","43.2","Tutti i dati","Sì"
"10/10/2014 11:00","10/10/2014 12:00","18.4","Tutti i dati","Sì"
"10/10/2014 12:00","10/10/2014 13:00","16.8","Tutti i dati","Sì"
"10/10/2014 13:00","10/10/2014 14:00","9.2","Tutti i dati","Sì"
"10/10/2014 14:00","10/10/2014 15:00","0","Tutti i dati","Sì"
"10/10/2014 15:00","10/10/2014 16:00","0","Tutti i dati","Sì"
"10/10/2014 16:00","10/10/2014 17:00","0","Tutti i dati","Sì"
"10/10/2014 17:00","10/10/2014 18:00","0","Tutti i dati","Sì"
"10/10/2014 18:00","10/10/2014 19:00","0","Tutti i dati","Sì"
"10/10/2014 19:00","10/10/2014 20:00","0","Tutti i dati","Sì"
"10/10/2014 20:00","10/10/2014 21:00","0","Tutti i dati","Sì"
"10/10/2014 22:00","10/10/2014 23:00","0","Tutti i dati","Sì"
"10/10/2014 23:00","11/10/2014 00:00","0","Tutti i dati","Sì"
"11/10/2014 00:00","11/10/2014 01:00","21.4","Tutti i dati","Sì"
"11/10/2014 01:00","11/10/2014 02:00","32.8","Tutti i dati","Sì"
"11/10/2014 02:00","11/10/2014 03:00","2","Tutti i dati","Sì"
"11/10/2014 03:00","11/10/2014 04:00","0","Tutti i dati","Sì"
"11/10/2014 04:00","11/10/2014 05:00","0","Tutti i dati","Sì"
"11/10/2014 05:00","11/10/2014 06:00",".2","Tutti i dati","Sì"
"11/10/2014 06:00","11/10/2014 07:00","0","Tutti i dati","Sì"
"11/10/2014 07:00","11/10/2014 08:00","2.2","Tutti i dati","Sì"
"11/10/2014 08:00","11/10/2014 09:00","0","Tutti i dati","Sì"
"11/10/2014 09:00","11/10/2014 10:00","0","Tutti i dati","Sì"
"11/10/2014 10:00","11/10/2014 11:00","0","Tutti i dati","Sì"
"11/10/2014 14:00","11/10/2014 15:00","0","Tutti i dati","Sì"
"11/10/2014 15:00","11/10/2014 16:00","0","Tutti i dati","Sì"
"11/10/2014 16:00","11/10/2014 17:00","0","Tutti i dati","Sì"
"11/10/2014 18:00","11/10/2014 19:00","0","Tutti i dati","Sì"
"11/10/2014 19:00","11/10/2014 20:00","0","Tutti i dati","Sì"
"11/10/2014 20:00","11/10/2014 21:00","0","Tutti i dati","Sì"
"11/10/2014 21:00","11/10/2014 22:00","0","Tutti i dati","Sì"
"11/10/2014 22:00","11/10/2014 23:00","0","Tutti i dati","Sì"
"11/10/2014 23:00","12/10/2014 00:00","0","Tutti i dati","Sì"
"12/10/2014 00:00","12/10/2014 01:00","0","Tutti i dati","Sì"
"12/10/2014 01:00","12/10/2014 02:00","0","Tutti i dati","Sì"
"12/10/2014 02:00","12/10/2014 03:00",".2","Tutti i dati","Sì"
"12/10/2014 03:00","12/10/2014 04:00","0","Tutti i dati","Sì"
"12/10/2014 04:00","12/10/2014 05:00","0","Tutti i dati","Sì"
"12/10/2014 05:00","12/10/2014 06:00","0","Tutti i dati","Sì"
"12/10/2014 06:00","12/10/2014 07:00","0","Tutti i dati","Sì"
"12/10/2014 07:00","12/10/2014 08:00","0","Tutti i dati","Sì"
"12/10/2014 08:00","12/10/2014 09:00","0","Tutti i dati","Sì"
"12/10/2014 09:00","12/10/2014 10:00","0","Tutti i dati","Sì"
"12/10/2014 10:00","12/10/2014 11:00","0","Tutti i dati","Sì"
"12/10/2014 11:00","12/10/2014 12:00","0","Tutti i dati","Sì"
"12/10/2014 12:00","12/10/2014 13:00","0","Tutti i dati","Sì"
"12/10/2014 14:00","12/10/2014 15:00","0","Tutti i dati","Sì"
"12/10/2014 18:00","12/10/2014 19:00","0","Tutti i dati","Sì"
"12/10/2014 21:00","12/10/2014 22:00",".2","Tutti i dati","Sì"
"12/10/2014 23:00","13/10/2014 00:00","0","Tutti i dati","Sì"

"Dati letti",107
"Dati validi",107
